RALT;ROLL;GS;MH;TH;PTCH
-3,625;0,845921993;0;-50,94757492;-49,39855225;-0,296621936
-3,625;0,856908023;0;-50,14010651;-48,59108002;-0,296621936
-3,625;0,856908023;0;-49,27770645;-47,72867996;-0,296621936
-3,625;0,845921993;0;-48,19558365;-46,64655716;-0,296621936
-3,625;0,845921993;0;-47,19585831;-45,64683182;-0,296621936
-3,75;0,834936023;0;-46,14120133;-44,59217484;-0,296621936
-3,625;0,845921993;0;-45,02063019;-43,27934677;-0,296621936
-3,625;0,845921993;0;-43,63090164;-42,08187515;-0,307608264
-3,625;0,856908023;0;-42,36751206;-40,81848557;-0,307608264
-3,625;0,856908023;0;-41,05468399;-39,5056575;-0,318594592
-3,75;0,856908023;0;-39,45621903;-37,90719254;-0,318594592
-3,625;0,856908023;0;-38,0335315;-36,47901566;-0,318594592
-3,625;0,845921993;0;-36,55591614;-35,00139649;-0,32958092
-3,625;0,856908023;0;-35,0453418;-33,49631531;-0,340567248
-3,625;0,867894053;0;-33,24913056;-31,6946109;-0,340567248
-3,625;0,878880024;0;-31,65615875;-30,10713226;-0,351551669
-3,5;0,889865994;0;-30,03023178;-28,48120529;-0,351551669
-3,625;0,900852025;0;-28,39331848;-26,83879883;-0,351551669
-3,625;0,900852025;0;-26,45978195;-24,91075546;-0,362537997
-3,625;0,889865994;0;-24,800896;-23,25186951;-0,373524325
-3,5;0,878880024;0;-23,14201004;-21,58749039;-0,384510654
-3,5;0,878880024;0;-21,48861725;-19,93959076;-0,395496982
-3,5;0,878880024;0;-19,56057388;-18,0115474;-0,395496982
-3,5;0,889865994;0;-17,89619476;-16,34716828;-0,40648331
-3,625;0,900852025;0;-16,20434982;-14,65532524;-0,417467731
-3,5;0,911838055;0;-14,50152046;-12,95249397;-0,417467731
-3,5;0,922824025;0;-12,48559029;-10,93107063;-0,428454059
-3,5;0,911838055;0;-10,72233612;-9,173309633;-0,439440387
-3,5;0,911838055;0;-8,942604372;-7,393577882;-0,450426715
-3,5;0,900852025;0;-7,151886293;-5,59736664;-0,461413043
-3,5;0,889865994;0;-5,0480674;-3,4935487;-0,472399371
-3,5;0,878880024;0;-3,235377618;-1,680857965;-0,472399371
-3,5;0,856908023;0;-1,428180048;0,126339003;-0,483383792
-3,5;0,845921993;0;0,379016995;1,933536053;-0,49437012
-3,5;0,823950052;0;2,499315023;4,048341274;-0,505356448
-3,5;0,812964022;0;4,322990894;5,872017384;-0,516342776
-3,5;0,801977992;0;6,141174316;7,695693016;-0,527329104
-3,5;0,790992022;0;7,953864098;9,502890587;-0,527329104
-3,5;0,790992022;0;10,04669762;11,60121632;-0,538315433
-3,5;0,801977992;0;11,8209362;13,36996269;-0,538315433
-3,5;0,801977992;0;13,56221771;15,11673641;-0,549299853
-3,5;0,801977992;0;15,25955486;16,8085804;-0,549299853
-3,5;0,801977992;0;17,16562462;18,71465111;-0,560286182
-3,5;0,780006051;0;18,73662376;20,29114342;-0,582258838
-3,5;0,769020021;0;20,28015709;21,83467484;-0,582258838
-3,5;0,758033991;0;21,81270409;23,36173058;-0,582258838
-3,5;0,74704802;0;23,59243584;25,14146233;-0,593245166
-3,5;0,73606205;0;25,130476;26,67950249;-0,593245166
-3,5;0,74704802;0;26,66302299;28,21754265;-0,604231494
-3,5;0,74704802;0;28,19007683;29,73910332;-0,615215915
-3,5;0,74704802;0;29,96431541;31,5133419;-0,615215915
-3,5;0,73606205;0;31,49136925;33,04039764;-0,626202243
-3,5;0,73606205;0;33,01293182;34,56195831;-0,637188571
-3,5;0,73606205;0;34,77618408;36,32521057;-0,637188571
-3,5;0,72507602;0;36,27027893;37,82479858;-0,648174899
-3,5;0,71408999;0;37,76437759;39,31340027;-0,648174899
-3,5;0,71408999;0;39,23649979;40,78552628;-0,659161227
-3,5;0,703104019;0;40,93383789;42,48286438;-0,670147555
-3,5;0,692118049;0;42,36201859;43,91104507;-0,681131976
-3,5;0,692118049;0;43,77371979;45,32274246;-0,681131976
-3,5;0,692118049;0;45,16344833;46,71247482;-0,692118304
-3,5;0,703104019;0;46,76740265;48,31642914;-0,692118304
-3,5;0,71408999;0;48,12966919;49,68418503;-0,703104632
-3,5;0,71408999;0;49,50291824;51,05194473;-0,714090961
-3,5;0,703104019;0;50,88715363;52,43618011;-0,714090961
